骨髄,bone marrow
造血,hematopoiesis
前赤芽球,proerythroblast
好塩基性赤芽球,basophilic erythroblast
多染性赤芽球,porychromatophilic erythroblast
正染性赤芽球/常赤芽球,orthochromatic erythroblast/normoblast
網状赤芽球,reticulocyte
骨髄芽球,myeloblast
前骨髄球,promyelocyte
好中性骨髄球,neutrophilic myelocyte
好酸性骨髄球,eosinophilic myelocyte
好中性後骨髄球,neutrophilic metamyelocyte
好酸性後骨髄球,eosinophilic metamyelocyte
桿状(カンジョウ)核好中球,neutrophilic band cell
桿状(カンジョウ)核好酸球,eosinophilic band cell
巨核芽球,megakaryoblast
巨核球,megakaryocyte
血液塗抹標本,blood smear
ギムザ染色,Giemsa staining
