鼻腔 ,nasal cavity 
重層扁平上皮 ,stratified squamous epithelium 
嗅上皮 ,olfactory epithelium 
嗅細胞 ,olfactory cells 
支持細胞 ,sustentacular cells 
基底細胞 ,basal cells 
ボウマン腺 ,Bowman’s gland(漿液性) 
多列線毛上皮 ,pseudostratified ciliated epithelium 
線毛細胞,ciliated cells
杯細胞,goblet cells
基底細胞 ,basal cells 
刷子細胞 ,brush cells 
漿液細胞 ,serous cells
喉頭 ,larynx 
甲状軟骨 ,thyroid cartilage 
輪状軟骨 ,cricoid cartilage 
喉頭蓋軟骨 ,epiglottic cartilage 
披裂軟骨 ,arytenoid cartilage 
輪状甲状筋(前筋) ,cricothyroid m. 
甲状披裂筋(内筋) ,thyroarytenoid m. 
外側輪状披裂筋(側筋) ,lateral cricoarytenoid m. 
横披裂筋(横筋) ,transverse arytenoid m. 
斜披裂筋,oblique arytenoid m.
後輪状披裂筋(後筋) ,posterior cricoarytenoid m. 
気管 ,trachea 
気管支 ,bronchus 
細気管支 ,bronchiole 
クララ細胞 ,Clara cells 
呼吸細気管支 ,respiratory bronchiole 
肺胞管 ,alveolar duct 
肺胞嚢 ,alveolar sacs 
肺胞 ,alveolus 
扁平肺胞細胞(小型肺胞細胞 ,squamous alveolar cells 
I 型肺胞上皮細胞 ,type-I alveolar cells 
大肺胞細胞 ,great alveolar cells 
II 型肺胞上皮細胞 ,type-II alveolar cells 
肺界面活性剤 ,surfactant 
肺胞マクロファージ ,alveolar macrophages 
血液空気関門 ,blood-air barrier 
