後骨半規管,posterior semicircular canal
外側骨半規管,lateral semicircular canal
前骨半規管,anterior semicircular canal
前庭,vestibule
前庭神経,vestibular root
蝸牛神経,cochlear root
内耳神経,vestibulocochlear nerve
蝸牛,cochlea
ツチ骨頭,malleus，head
側頭骨、岩様部,temporal bone，petrous part
アブミ骨,stapes
鼓膜張筋,tensor tympani
耳管,Pharyngotympanic (auditory) tube
鼓室,tympanic cavity
鼓膜,tympanic membrane
茎状突起,styloid process
キヌタ骨,incus
外耳道,external auditory canal
舟状窩,scaphoid fossa
耳輪,helix
対輪,antihelix
耳甲介,concha
耳垂,earlobe
対珠,antitragus
珠間切痕,intertragic incisure
耳珠,tragus
耳甲介舟,cymba conchae
三角窩,triangular fossa
対輪脚,crura of antihelix
