第１腰椎,first lumbar vertebra
肋軟骨,costal cartilage
肋骨,ribs
腹直筋,rectus abdominis muscle
外腹斜筋,external abdominal oblique muscle
内腹斜筋,internal abdominal oblique muscle
腹横筋,transversus abdominal muscle
広背筋,latissimus dorsi muscle
脊柱起立筋,erector spinae muscle
大腰筋,psoas major muscle
腹部大動脈,abdominal aorta
総肝動脈,common hepatic artery
腹腔動脈幹,celiac trunk
下大静脈,inferior vena cava
門脈,portal vein
脾動静脈,splenic artery and vein
脊柱管,vertebral canal
脊髄,spinal cord
腹腔神経節,celiac ganglia
胃,stomach
十二指腸下行部,descending part of the duodenum
横行結腸,transverse colon
下行結腸,descending colon
肝右葉,right lobe of the liver
胆嚢,gallbladder
膵臓,pancreas
膵管,pancreatic duct
脾臓,spleen
腎臓,kidney
副腎,adrenal gland
横隔膜,diaphragm
