大腿動静脈,femoral artery & vein
大伏在静脈,great saphenous vein
長内転筋,adductor longus muscle
閉鎖神経,obturator nerve
薄筋,gracilis muscle
大腿筋膜,fascia lata
大内転筋,adductor magnus muscle
半膜様筋,semimembranosus muscle
短内転筋,adductor brevis muscle
半腱様筋,semitendinosus muscle
大腿二頭筋,biceps femoris muscle
坐骨神経,sciatic nerve
恥骨筋,pectineus muscle
大腿骨,femur
腸脛靭帯,iliotibial tract
外側広筋,vastus lateralis muscle
大腿深動静脈,deep femoral artery & vein
中間広筋,vastus intermedius muscle
大腿直筋,rectus femoris muscle
内側広筋,vastus medialis muscle
縫工筋,sartorius muscle
伏在神経,saphenous nerve
