結合組織,connective tissue
細胞外マトリクス,extracellular matrix
基質,ground substance
疎性結合組織,loose connective tissue
密性不規則性結合組織,dense irregular connective tissue
密性規則性結合組織,dense regular connective tissue
腱,tendon
脂肪組織,adipose tissue
造血組織,hematopoietic tissue
骨,bone
軟骨,cartilage
線維,fiber
膠原線維,collagen fiber
鍍銀染色,silver staining
弾性線維,elastic fiber
レゾルシンフクシン染色,resorcin-fuchsin staining
マクロファージ,macrophage
線維芽細胞,fibroblast
肥満細胞,mast cell
脂肪組織,adipose tissue
脂肪細胞,adipocyte
白色脂肪組織,white adipose tissue
褐色脂肪組織,brown adipose tissue
白色脂肪細胞,white adipocyte
褐色脂肪細胞,brown adipocyte
