神経組織,nervous tissue
中枢神経系,central nervous tissue
脳,brain
頭蓋腔,cranial cavity
脊髄,spinal cord
脊柱管,spinal canal
灰白質,gray matter
白質,white matter
末梢神経系,peripheral nervous system
脳脊髄神経,cranial and spinal nerve
神経節,ganglion
体性神経系,somatic nervous system
自律神経系,autonomic nervous system
副交感神経系,parasympathetic division
交感神経系,sympathetic division
腸神経系,enteric division
アウエルバッハの神経叢(しんけいそう),Auerbach's plexus
マイスネルの神経叢(しんけいそう),Meissner's plexus
神経細胞,neuron/nerve cell
投射ニューロン,projection neuron
錐体細胞,pyramidal cell
核を含む細胞体,perikaryon
起始円錐,axon hillock
軸索,axon
樹状突起,dendrite
シナプス,synapse
運動終板,motor end plate
支持細胞,supporting cell
神経膠細胞,neuroglia
シュワン細胞,Schwann cell
外套細胞,satellite cell
神経内膜,endoneurium
神経周膜,perineurium
神経外膜,epineurium
腸管グリア細胞,enteric glial cell
血管系,vasculature
血液-脳関門,blood-brain barrier
多極神経細胞,multipolar neuron
双極神経細胞,bipolar neuron
偽単極神経細胞,pseudounipolar neuron
単極神経細胞,unipolar neuron
感覚神経細胞,Sensory neurons
運動神経細胞,Motor neurons
介在神経細胞,Interneurons
電気シナプス,electrical synapse
化学シナプス,chemical synapse
神経伝達物質,Neurotransmitter
興奮性シナプス,excitatory synapse
アセチルコリン,asetylcholin
抑制性シナプス,inhibitory synapse
GABA,γ-aminobtyric acid
線維型星状膠細胞,fibrous astrocyte
原形質型星状膠細胞,protoplasmic astrocyte
稀突起膠細胞,oligodendrocyte
小膠細胞,microglia
上衣細胞,ependymal cell
ミエリン鞘,myelin sheath
シュワン鞘,sheath of Schwann
有髄神経,myelinated nerve
無髄神経,unmyelinated nerve
有鞘有髄神経,myelinated nerve fibers with Schwann sheath
無鞘有髄神経,myelinated nerve fibers without Schwann sheath
有鞘無髄神経,unmyelinated nerve fibers with Schwann sheath
無鞘無髄神経,unmyelinated nerve fibers without Schwann sheath
ランヴィエ絞輪,node of Ranvier
シュミット-ランターマン切痕,Schmidt-Lanterman cleft
ゴルジ鍍銀染色,Golgi's silver impregnation
求心性受容体,afferent receptor
自由終末,nonencapsulated ending/free nerve ending
被覆型終末,encapsulated ending
マイスネル小体,Meissner's corpuscle
パチニ小体,Pacinian corpuscle
ルフィニ小体,Ruffini's corpuscle
クラウゼ終棍,Krause' end bulb
硬膜,dura mater
くも膜,arachnoid layer
軟膜,pia mater
くも膜下腔,subarachnoid space
脳脊髄液,cerebrospinal fluid
